0.000659551 0.00105327 9.88131e-324 4060.11 4.65307e-06 | 66 2
0.000318968 0.000312477 9.88131e-324 3800.99 1.38959e-05 | 67 2
0.000682245 0.000227184 9.88131e-324 3634.51 1.26143e-05 | 68 2
0.000464668 0.00119579 9.88131e-324 4154.7 9.02257e-06 | 69 2
0.000531871 0.000263862 9.88131e-324 3678.17 3.18331e-05 | 70 2
0.000519053 0.00119838 9.88131e-324 4144.84 1.12301e-05 | 71 2
0.000393109 0.000617282 9.88131e-324 3883.47 2.70005e-06 | 72 2
0.000601526 0.000432593 9.88131e-324 3676.64 9.00277e-06 | 73 2
0.000159881 0.000211766 9.88131e-324 3781.82 1.37718e-05 | 74 2
0.000345544 3.81361e-05 9.88131e-324 3681.04 1.21634e-05 | 75 2
0.000628651 0.000115443 9.88131e-324 3651.97 1.27034e-05 | 76 2
0.000740678 0.001175 9.88131e-324 4026.1 1.39513e-05 | 77 2
0.000373543 0.000271657 9.88131e-324 3769.21 4.70377e-06 | 78 2
0.000602068 4.58289e-05 9.88131e-324 3660.26 1.28108e-05 | 79 2
0.000404799 0.000656906 9.88131e-324 3722.91 1.74885e-05 | 80 2
0.000538174 0.000523768 9.88131e-324 3691.62 1.58979e-05 | 81 2
0.000661621 8.26163e-05 9.88131e-324 3595.08 1.78037e-05 | 82 2
0.000812727 0.000418587 9.88131e-324 3449.44 1.5908e-05 | 83 2
0.000659169 0.000293467 9.88131e-324 3638.21 2.24663e-05 | 84 2
0.000606401 0.00122673 9.88131e-324 4029.13 1.37424e-05 | 85 2
0.000799771 0.000309191 9.88131e-324 3482.87 1.15333e-05 | 86 2
0.000371707 0.000190714 9.88131e-324 3696.22 1.54764e-05 | 87 2
0.000783395 0.000302386 9.88131e-324 3489.06 2.23241e-05 | 88 2
0.000546166 0.00122606 9.88131e-324 4031.88 1.45202e-05 | 89 2
0.000804277 0.000220725 9.88131e-324 3509.73 9.49374e-06 | 90 2
0.000400937 0.000215177 9.88131e-324 3700.02 1.30086e-05 | 91 2
0.000611701 0.000571424 9.88131e-324 3695.75 5.60181e-06 | 92 2
0.000400943 0.000557789 9.88131e-324 3730.62 1.21681e-05 | 93 2
0.000896623 0.000191611 9.88131e-324 3487.06 9.69587e-06 | 94 2
0.000458581 0.000186052 9.88131e-324 3686.35 1.72369e-05 | 95 2
0.000494195 0.000339213 9.88131e-324 3675.85 9.94942e-06 | 96 2
0.0011181 0.000596781 9.88131e-324 3366.37 2.2591e-05 | 97 2
0.000761689 0.0003334 9.88131e-324 3496.08 2.22764e-06 | 98 2
0.000609654 0.000512889 9.88131e-324 3686.43 5.71861e-06 | 99 2
0.000670632 0.000113079 9.88131e-324 3613.17 1.47584e-05 | 100 2
0.000641034 0.000338389 9.88131e-324 3605.84 8.82995e-06 | 101 2
0.000197072 0.00062082 9.88131e-324 4238.82 1.53317e-05 | 102 2
0.000522996 0.00025835 9.88131e-324 3678.18 5.09607e-06 | 103 2
0.000554673 0.000161707 9.88131e-324 3671.25 1.65344e-05 | 104 2
0.000344278 0.000576234 9.88131e-324 3978.32 9.00274e-06 | 105 2
0.000712554 0.000382194 9.88131e-324 3520.34 6.41331e-06 | 106 2
0.000515351 0.00108742 9.88131e-324 4063.33 1.25444e-05 | 107 2
0.000449867 0.000448283 9.88131e-324 3683.21 1.76483e-05 | 108 2
0.000514258 0.000350295 9.88131e-324 3647.56 2.07113e-05 | 109 2
0.000436951 0.000190487 9.88131e-324 3686.36 1.85938e-05 | 110 2
0.000193761 2.4452e-05 9.88131e-324 3680.83 1.14389e-05 | 111 2
0.000661995 0.000215431 9.88131e-324 3635.7 1.26874e-05 | 112 2
0.000602968 0.000290143 9.88131e-324 3675.72 3.27602e-06 | 113 2
0.000586616 0.00118077 9.88131e-324 4097.22 1.358e-05 | 114 2
0.000244532 0.000413656 9.88131e-324 4218.85 1.8231e-05 | 115 2
0.00042728 0.00098361 9.88131e-324 4078.53 1.61738e-05 | 116 2
0.000291821 0.000158661 9.88131e-324 3717.23 1.11569e-05 | 117 2
0.000511963 0.000338053 9.88131e-324 3670.92 3.42972e-07 | 118 2
0.000574126 0.000204735 9.88131e-324 3646.66 1.61306e-05 | 119 2
0.00064189 8.87039e-05 9.88131e-324 3654.65 1.1815e-05 | 120 2
0.000605392 0.000271824 9.88131e-324 3644.15 1.6839e-05 | 121 2
0.000753384 0.000208277 9.88131e-324 3573.66 1.83796e-05 | 122 2
0.00064821 0.000281565 9.88131e-324 3645.37 1.24062e-05 | 123 2
0.000425953 0.000669635 9.88131e-324 3716.26 4.06297e-06 | 124 2
0.000527946 0.000303972 9.88131e-324 3678.17 1.76411e-05 | 125 2
0.000552875 0.000344185 9.88131e-324 3664.81 1.13547e-05 | 126 2
0.000769676 0.000342952 9.88131e-324 3501.34 7.64559e-06 | 127 2
4.68421e-05 0.000593356 0 9994.55 8.01592e-06 | 128 0
0.000382547 7.22313e-05 9.88131e-324 3674.34 1.82319e-05 | 129 2
0.000420449 0.000311114 9.88131e-324 3702.13 1.17647e-05 | 130 2
0.0004578 0.00061338 9.88131e-324 3699.35 1.33619e-05 | 131 2
0.000775385 0.00129197 9.88131e-324 4029.08 2.04484e-06 | 132 2
0.000216559 0.000274052 9.88131e-324 3804.06 1.61215e-05 | 133 2
0.000620708 0.00030352 9.88131e-324 3658.87 5.19681e-06 | 134 2
0.000658008 0.000164728 9.88131e-324 3621.53 1.1263e-05 | 135 2
0.000709837 0.000622813 9.88131e-324 3704.72 3.13991e-05 | 136 2
0.000755376 0.000215003 9.88131e-324 3547.77 1.0855e-05 | 137 2
0.0012343 0.000151319 9.88131e-324 1896.21 2.5616e-05 | 138 2
0.00127108 0.000319357 4.94066e-324 14.9041 1.65948e-05 | 139 1
0.000799095 0.00018013 9.88131e-324 3563.18 2.65217e-05 | 140 2
0.000554456 0.000152554 9.88131e-324 3671.26 2.25715e-05 | 141 2
0.000380521 0.00124186 9.88131e-324 4121.77 2.23998e-05 | 142 2
0.000553846 0.000216585 9.88131e-324 3643.89 4.41652e-06 | 143 2
0.000322736 0.00022235 9.88131e-324 3723.87 6.99136e-06 | 144 2
